item_name,item_label,item_description,mean,sd,communality,new,chu,warwick,old
Q4_1,duties,"Today I feel able to meet my responsibilities (e.g. work, school).",0.8032786885245902,1.0564750161310366,0.40826061123968405,0.6623983536601096,0.5624411925946766,0.5209128660751582,0.6021821230487967
Q4_2,optimistic,Today I feel optimistic about the future.,0.7540983606557377,1.0427261217358843,0.5829759881952015,0.7095580015656809,0.4440640233996869,0.607227550564067,0.5959418120526246
Q4_3,loved,Today I feel loved.,1.0913348946135832,0.9412781479996087,0.4496219046629979,0.6416067656073682,0.3407116207304393,0.5175886515824621,0.4890271349386306
Q4_4,annoyed,Today I feel annoyed/irritable.,0.2786885245901639,1.104659429144803,0.5631108474283102,0.5638739433699694,0.48447924973619133,0.4442651644874304,0.5159798341440087
Q4_5,rested,Today I feel rested.,-0.01639344262295082,1.1797242913176684,0.691372034209822,0.5880303797317223,0.49998478572782007,0.394094086977886,0.4928968814282928
Q4_6,happy,Today I feel happy.,0.6885245901639344,0.9660599162152667,0.6365307436560792,0.7738271292036898,0.5144805515672245,0.6144099987354318,0.6356450659255233
Q4_7,pain,Today I feel in physical pain.,0.7213114754098361,1.2217090176805974,0.19326362427578936,0.44373429977612106,0.4338399766404441,0.2699030004566875,0.3833792580944353
Q4_8,confident,Today I feel confident.,0.5152224824355972,1.0840835833290663,0.6063924503206282,0.7583454258853128,0.5048084010852659,0.6509174269737147,0.6532486621655595
Q4_9,worried,Today I feel worried/anxious.,-0.36768149882903983,1.2134554748315602,0.3507767902508624,0.5380100743769655,0.5077272095835068,0.42886577469048315,0.518159681494549
Q4_10,purpose,Today I feel that my life has a purpose.,0.9180327868852459,0.9643056169421387,0.6524856783022243,0.7144800592266025,0.40949381523502604,0.6276687642441681,0.591188772275924
Q4_11,sad,Today I feel sad.,0.3957845433255269,1.1113080861712643,0.6805083174844296,0.7190520652058996,0.591477993294937,0.5633996648823563,0.642860174042719
Q4_12,useful,Today I feel useful.,0.5995316159250585,0.9982612892913445,0.537284301143359,0.7071012451846826,0.4541620091670728,0.5731724527698533,0.5800596770289861
Q4_13,energetic,Today I feel energetic.,0.06791569086651054,1.143496044655551,0.5410917920457534,0.719728391978943,0.5110430468707565,0.5751664926195729,0.6097895367941539
Q4_14,supported,Today I feel supported.,1.0327868852459017,0.9237870916102484,0.5058079538897498,0.6604014437575341,0.414382200658513,0.5620905779637491,0.5533107987010814
Q4_15,angry,Today I feel angry.,0.9320843091334895,0.9629649599035497,0.42686286488539193,0.5416091037830018,0.41553240277456827,0.41050435506971283,0.46066857312145937
Q4_16,control,Today I feel in charge of my life.,0.6276346604215457,1.0434165519846135,0.580983336868019,0.7337943289003089,0.49936429356096884,0.5954802731499339,0.6164292521120676
Q6_1,slept,Today I woke up feeling well-rested.,-0.14285714285714285,1.2182933825351374,0.7178068000162117,0.5708942073775892,0.4579307586443657,0.3703513902995609,0.45722254394926976
Q6_2,ate,Today I ate well.,0.21311475409836064,1.2060163708675704,0.26683649966154166,0.5037052887881157,0.3349222539340029,0.3083413009328147,0.3574484673371312
Q6_3,selfcare,Today I took good care of myself.,0.5597189695550351,1.0561991897119745,0.4558357001214781,0.6384582433418224,0.4386391624473832,0.4615229188459279,0.5036216711945067
Q6_4,helpful,Today I was helpful to others.,0.6112412177985949,0.970777291482762,0.22792563473243344,0.40904486343819346,0.18505806129408722,0.32754894727030104,0.29416195343859386
